"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-02-06","copilot","copilot_premium_request","77","requests","0.04","3.080000000000002","3.080000000000002","0","vfaraji89","","","",""
"2026-02-07","copilot","copilot_premium_request","244","requests","0.04","9.759999999999994","8.360000000000003","1.4000000000000004","vfaraji89","","","",""
"2026-02-08","copilot","copilot_premium_request","136","requests","0.04","5.440000000000004","0","5.440000000000004","vfaraji89","","","",""
"2026-02-09","copilot","copilot_premium_request","65","requests","0.04","2.6000000000000014","0","2.6000000000000014","vfaraji89","","","",""
"2026-02-10","actions","actions_linux","26","minutes","0.006","0.15600000000000006","0.15600000000000006","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-02-10","copilot","copilot_premium_request","184","requests","0.04","7.360000000000006","0","7.360000000000006","vfaraji89","","","",""
"2026-02-11","actions","actions_linux","8","minutes","0.006","0.047999999999999994","0.047999999999999994","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-02-11","copilot","copilot_premium_request","205","requests","0.04","8.200000000000005","0","8.200000000000005","vfaraji89","","","",""
"2026-02-12","actions","actions_linux","4","minutes","0.006","0.024","0.024","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-02-12","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","dependabot[bot]","","tokalator",".github/workflows/ci.yml",""
"2026-02-12","actions","actions_linux","12","minutes","0.006","0.07200000000000001","0.07200000000000001","0","vfaraji89","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-02-12","actions","actions_linux","5","minutes","0.006","0.03","0.03","0","dependabot[bot]","","tokalator","dynamic/dependabot/dependabot-updates",""
"2026-02-12","copilot","copilot_premium_request","24","requests","0.04","0.96","0","0.96","vfaraji89","","","",""
"2026-02-13","actions","actions_linux","5","minutes","0.006","0.030000000000000002","0.030000000000000002","0","vfaraji89","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-02-13","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-02-13","copilot","copilot_premium_request","12","requests","0.04","0.48","0","0.48","vfaraji89","","","",""
"2026-02-15","copilot","copilot_premium_request","48","requests","0.04","1.9200000000000008","0","1.9200000000000008","vfaraji89","","","",""
"2026-02-17","actions","actions_linux","4","minutes","0.006","0.024","0.024","0","vfaraji89","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-02-17","actions","actions_linux","3","minutes","0.006","0.018000000000000002","0.018000000000000002","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-02-17","copilot","copilot_premium_request","1","requests","0.04","0.04","0.04","0","vfaraji89","","","",""
"2026-02-18","actions","actions_linux","4","minutes","0.006","0.024","0.024","0","github-advanced-security[bot]","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-02-18","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","dependabot[bot]","","tokalator","dynamic/dependabot/dependabot-updates",""
"2026-02-18","actions","actions_linux","6","minutes","0.006","0.036","0.036","0","vfaraji89","","vfaraji89.github.io","dynamic/pages/pages-build-deployment",""
"2026-02-18","actions","actions_linux","12","minutes","0.006","0.072","0.072","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-02-18","actions","actions_linux","24","minutes","0.006","0.14400000000000002","0.14400000000000002","0","vfaraji89","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-02-18","copilot","copilot_premium_request","114","requests","0.04","4.560000000000003","4.560000000000003","0","vfaraji89","","","",""
"2026-02-19","copilot","copilot_premium_request","117","requests","0.04","4.680000000000003","4.680000000000003","0","vfaraji89","","","",""
"2026-02-20","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","dependabot[bot]","","tokalator","dynamic/dependabot/dependabot-updates",""
"2026-02-20","copilot","copilot_premium_request","15","requests","0.04","0.6","0.6","0","vfaraji89","","","",""
"2026-02-21","actions","actions_linux","36","minutes","0.006","0.2160000000000001","0.2160000000000001","0","vfaraji89","","vfaraji89.github.io","dynamic/pages/pages-build-deployment",""
"2026-02-21","copilot","copilot_premium_request","93","requests","0.04","3.7200000000000024","3.7200000000000024","0","vfaraji89","","","",""
"2026-02-22","copilot","copilot_premium_request","27","requests","0.04","1.08","1.08","0","vfaraji89","","","",""
"2026-02-25","actions","actions_linux","5","minutes","0.006","0.030000000000000002","0.030000000000000002","0","github-advanced-security[bot]","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-03-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","dependabot[bot]","","tokalator","dynamic/dependabot/dependabot-updates",""
"2026-03-01","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","dependabot[bot]","","tokalator",".github/workflows/ci.yml",""
"2026-03-01","actions","actions_linux","1","minutes","0.006","0.006","0.006","0","vfaraji89","","tokalator",".github/workflows/fetch-wiki.yml",""
"2026-03-01","copilot","copilot_premium_request","6","requests","0.04","0.24","0.24","0","vfaraji89","","","",""
"2026-03-04","actions","actions_linux","4","minutes","0.006","0.024","0.024","0","dependabot[bot]","","tokalator","dynamic/dependabot/dependabot-updates",""
"2026-03-04","actions","actions_linux","5","minutes","0.006","0.030000000000000002","0.030000000000000002","0","github-advanced-security[bot]","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-03-05","copilot","copilot_premium_request","6","requests","0.04","0.24","0.24","0","vfaraji89","","","",""
"2026-03-06","actions","actions_linux","4","minutes","0.006","0.024","0.024","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-03-06","actions","actions_linux","3","minutes","0.006","0.018000000000000002","0.018000000000000002","0","dependabot[bot]","","tokalator","dynamic/dependabot/dependabot-updates",""
"2026-03-06","actions","actions_linux","10","minutes","0.006","0.06","0.06","0","vfaraji89","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-03-06","copilot","copilot_premium_request","9","requests","0.04","0.36","0.36","0","vfaraji89","","","",""
"2026-03-07","actions","actions_linux","2","minutes","0.006","0.012","0.012","0","dependabot[bot]","","tokalator","dynamic/dependabot/dependabot-updates",""
"2026-03-07","actions","actions_linux","45","minutes","0.006","0.27000000000000013","0.27000000000000013","0","vfaraji89","","tokalator","dynamic/github-code-scanning/codeql",""
"2026-03-07","actions","actions_linux","23","minutes","0.006","0.13800000000000007","0.13800000000000007","0","vfaraji89","","tokalator",".github/workflows/ci.yml",""
"2026-03-07","copilot","copilot_premium_request","30","requests","0.04","1.2000000000000002","1.2000000000000002","0","vfaraji89","","","",""
